test_number,pdf_sem,img_sem,concurrency,start_time,end_time,duration_seconds
1,1,1,4,1745481102.1645992,1745481354.60729,252.4426908493042
2,1,1,8,1745481384.6387844,1745481849.8973145,465.2585301399231
3,1,1,16,1745481879.9279957,1745482500.6723614,620.7443656921387
4,1,2,4,1745482530.7036667,1745483006.8735557,476.1698889732361
5,1,2,8,1745483036.9048657,1745483498.6361303,461.73126459121704
6,1,2,16,1745483528.6673815,1745484149.3924844,620.7251029014587
7,1,4,4,1745484179.423777,1745484646.3390164,466.91523933410645
8,1,4,8,1745484676.3703709,1745485138.529959,462.159588098526
9,1,4,16,1745485168.5612605,1745485789.3538575,620.7925970554352
10,1,8,4,1745485819.3853176,1745486293.3351417,473.94982409477234
11,1,8,8,1745486323.3664637,1745486779.4784982,456.1120345592499
12,1,8,16,1745486809.5099273,1745487430.3024013,620.7924740314484
13,1,16,4,1745487460.3338065,1745487920.52581,460.19200348854065
14,1,16,8,1745487950.5572412,1745488409.110016,458.55277490615845
15,1,16,16,1745488439.14141,1745489059.7757142,620.6343040466309
16,2,1,4,1745489089.807087,1745489568.2929559,478.48586893081665
17,2,1,8,1745489598.3243988,1745490063.9621866,465.6377878189087
18,2,1,16,1745490093.9935243,1745490714.724865,620.7313406467438
19,2,2,4,1745490744.733247,1745491201.864742,457.1314949989319
20,2,2,8,1745491231.896203,1745491687.6741226,455.77791953086853
21,2,2,16,1745491717.692554,1745492338.3592453,620.6666913032532
22,2,4,4,1745492368.3906574,1745492845.6920154,477.30135798454285
23,2,4,8,1745492875.7234604,1745493347.206101,471.48264050483704
24,2,4,16,1745493377.2374558,1745493997.8277674,620.5903115272522
25,2,8,4,1745494027.8594258,1745494506.5708327,478.71140694618225
26,2,8,8,1745494536.6022034,1745495001.3974435,464.7952401638031
27,2,8,16,1745495031.4289138,1745495651.9691198,620.5402059555054
28,2,16,4,1745495682.000593,1745496136.9896994,454.98910641670227
29,2,16,8,1745496167.021179,1745496632.8505766,465.82939767837524
30,2,16,16,1745496662.8820753,1745497283.6720212,620.7899458408356
31,4,1,4,1745497313.703403,1745497776.6083875,462.90498447418213
32,4,1,8,1745497806.6398735,1745498260.1261313,453.48625779151917
33,4,1,16,1745498290.1576512,1745498910.7788804,620.6212291717529
34,4,2,4,1745498940.810328,1745499426.3404703,485.5301423072815
35,4,2,8,1745499456.371848,1745499921.8826888,465.51084065437317
36,4,2,16,1745499951.9141095,1745500572.7110243,620.7969148159027
37,4,4,4,1745500602.7424796,1745501058.0106726,455.2681930065155
38,4,4,8,1745501088.0421634,1745501544.838131,456.79596757888794
39,4,4,16,1745501574.8696167,1745502195.3104274,620.4408106803894
40,4,8,4,1745502225.341855,1745502703.5181603,478.17630529403687
41,4,8,8,1745502733.5496464,1745503178.4667675,444.9171211719513
42,4,8,16,1745503208.499147,1745503829.2527905,620.7536435127258
43,4,16,4,1745503859.2843053,1745504316.801094,457.5167887210846
44,4,16,8,1745504346.8317628,1745504807.3468897,460.51512694358826
45,4,16,16,1745504837.3783448,1745505458.0146616,620.6363167762756
46,8,1,4,1745505488.0460277,1745505964.5811002,476.53507256507874
47,8,1,8,1745505994.6125267,1745506459.1860151,464.5734884738922
48,8,1,16,1745506489.2174978,1745507110.0208578,620.8033599853516
49,8,2,4,1745507140.051627,1745507592.6720371,452.6204102039337
50,8,2,8,1745507622.703539,1745508076.114393,453.41085410118103
51,8,2,16,1745508106.1458611,1745508726.8295856,620.6837244033813
52,8,4,4,1745508756.8610425,1745509208.1025984,451.24155592918396
53,8,4,8,1745509238.1348195,1745509704.9785175,466.84369802474976
54,8,4,16,1745509735.010025,1745510355.7878551,620.7778301239014
55,8,8,4,1745510385.8194954,1745510851.6692748,465.8497793674469
56,8,8,8,1745510881.7007234,1745511345.7907846,464.09006118774414
57,8,8,16,1745511375.8221993,1745511996.6105132,620.7883138656616
58,8,16,4,1745512026.6420732,1745512495.5877728,468.94569969177246
59,8,16,8,1745512525.61932,1745512983.3418972,457.7225773334503
60,8,16,16,1745513013.3733544,1745513634.0052495,620.6318950653076
